# OpenSignals Text File Format. Version 1
# {"00:07:80:46:F4:4E": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:46:F4:4E", "device connection": "BTH00:07:80:46:F4:4E", "sampling rate": 1000, "resolution": [16, 16, 16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-6-17", "time": "10:31:53.698", "channels": [1, 2, 3], "sensor": ["EEG", "EEG", "CUSTOM/0.5/1.0/V"], "label": ["CH1", "CH2", "CH3"], "column": ["nSeq", "DI", "CH1", "CH2", "CH3"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["dark_blue", "dark_blue", "black"]}}
# EndOfHeader
0	0	23980	31624	22464	
1	0	25256	31936	22460	
2	0	28930	32036	22462	
3	0	30218	32785	22462	
4	0	33580	33356	22460	
5	0	39904	33489	22462	
6	0	41288	33608	22456	
7	0	39356	33665	22456	
8	0	37400	33473	22458	
9	0	35048	33420	22458	
10	0	33708	33488	22462	
11	0	33512	33543	22463	
12	0	34452	33839	22458	
13	0	35320	33254	22457	
14	0	36168	32619	22460	
15	0	36196	31939	22461	
16	0	35012	31108	22463	
17	0	33404	30012	22462	
18	0	32404	29063	22464	
19	0	32392	28274	22458	
20	0	32368	28437	22460	
21	0	31524	29272	22458	
22	0	31208	30324	22461	
23	0	32632	31132	22460	
24	0	34088	32337	22460	
25	0	33252	33636	22464	
26	0	32348	34361	22458	
27	0	31972	35413	22460	
28	0	31216	35264	22460	
29	0	30976	35320	22458	
30	0	31228	35640	22460	
31	0	32446	35292	22457	
32	0	34228	35177	22463	
33	0	34752	35247	22452	
34	0	33654	35381	22458	
35	0	33112	35232	22456	
36	0	32760	34716	22456	
37	0	32936	34052	22461	
38	0	32510	33170	22460	
39	0	30428	32428	22463	
40	0	28036	31518	22464	
41	0	26586	31143	22460	
42	0	25469	31519	22466	
43	0	25445	32228	22457	
44	0	28060	32804	22463	
45	0	31620	32704	22466	
46	0	34016	32898	22461	
47	0	33504	33044	22457	
48	0	31792	32801	22459	
49	0	29736	32332	22458	
50	0	28574	31996	22464	
51	0	26740	31324	22460	
52	0	23294	30801	22458	
53	0	20732	30340	22457	
54	0	20377	30225	22464	
55	0	21008	30605	22462	
56	0	23054	30198	22466	
57	0	23704	30309	22463	
58	0	22689	30215	22459	
59	0	24932	29954	22463	
60	0	30008	29854	22461	
61	0	35017	29572	22467	
62	0	39484	29548	22461	
63	0	41740	29671	22458	
64	0	41325	29767	22458	
65	0	40040	29957	22462	
66	0	37764	30829	22461	
67	0	36332	31708	22461	
68	0	35864	32677	22460	
69	0	35608	33597	22462	
70	0	34924	34680	22461	
71	0	34713	35393	22462	
72	0	34304	35212	22460	
73	0	33532	35335	22464	
74	0	33661	35244	22461	
75	0	34620	34822	22459	
76	0	35460	34212	22466	
77	0	35748	33444	22462	
78	0	35496	32628	22456	
79	0	34800	31852	22460	
80	0	34069	31668	22460	
81	0	33540	31448	22463	
82	0	32752	31588	22459	
83	0	31638	31596	22460	
84	0	30582	31834	22463	
85	0	29961	32176	22461	
86	0	30088	33272	22463	
87	0	29996	34660	22456	
88	0	31116	36096	22462	
89	0	32056	37288	22464	
90	0	32541	37027	22460	
91	0	30540	36596	22462	
92	0	26916	36071	22456	
93	0	24717	35356	22461	
94	0	22800	33511	22457	
95	0	25188	31835	22460	
96	0	30540	30104	22460	
97	0	31249	29048	22466	
98	0	29474	28911	22460	
99	0	29136	28758	22457	
100	0	29108	28910	22462	
101	0	28924	29179	22459	
102	0	28296	29709	22457	
103	0	29492	30572	22463	
104	0	27713	31380	22456	
105	0	22002	32078	22460	
106	0	17908	32807	22460	
107	0	20426	33308	22456	
108	0	23690	33172	22460	
109	0	26288	32323	22456	
110	0	30018	32092	22460	
111	0	33992	31448	22460	
112	0	35976	30970	22459	
113	0	36164	30989	22460	
114	0	36744	31173	22459	
115	0	38721	31756	22463	
116	0	40368	31937	22456	
117	0	40912	31935	22460	
118	0	42341	32039	22460	
119	0	43224	32020	22464	
120	0	41208	32168	22461	
121	0	37420	32292	22460	
122	0	33977	32232	22454	
123	0	32564	31772	22462	
124	0	30612	31652	22464	
125	0	27008	31751	22458	
126	0	25109	32292	22460	
127	0	24413	32775	22460	
128	0	27580	32430	22461	
129	0	32298	32868	22460	
130	0	35428	33144	22466	
131	0	36644	33548	22460	
132	0	36776	33893	22461	
133	0	37356	33871	22456	
134	0	37988	32792	22461	
135	0	37996	31884	22460	
136	0	37501	31271	22463	
137	0	36932	31028	22462	
138	0	35652	30676	22461	
139	0	35072	31057	22458	
140	0	35064	31896	22458	
141	0	34208	32957	22463	
142	0	31824	33772	22460	
143	0	29720	34430	22463	
144	0	29128	35087	22462	
145	0	28564	34753	22456	
146	0	28728	34656	22467	
147	0	29889	34684	22458	
148	0	30548	35244	22460	
149	0	30960	35765	22460	
150	0	31720	35917	22460	
151	0	32375	35928	22459	
152	0	31258	35545	22462	
153	0	28157	34988	22462	
154	0	25080	34331	22462	
155	0	27392	34065	22456	
156	0	31772	33676	22460	
157	0	34300	33469	22461	
158	0	35132	32854	22462	
159	0	35016	33230	22462	
160	0	32652	33492	22464	
161	0	30592	33741	22456	
162	0	28888	34220	22456	
163	0	27636	34468	22461	
164	0	26900	34529	22464	
165	0	27780	34624	22460	
166	0	29308	33910	22461	
167	0	30696	33264	22461	
168	0	31868	32666	22460	
169	0	33384	32377	22456	
170	0	35172	32000	22462	
171	0	36892	31957	22454	
172	0	36928	32279	22456	
173	0	35832	32685	22460	
174	0	35396	32688	22460	
175	0	34541	32302	22463	
176	0	34316	32261	22456	
177	0	32604	32002	22460	
178	0	29412	31334	22458	
179	0	27716	30760	22463	
180	0	27684	30128	22458	
181	0	28588	30052	22464	
182	0	28656	30505	22457	
183	0	29084	30436	22460	
184	0	32728	30860	22458	
185	0	36684	31354	22462	
186	0	37268	32300	22456	
187	0	35648	33352	22460	
188	0	34496	34276	22461	
189	0	33688	34706	22462	
190	0	32586	34743	22465	
191	0	32604	34780	22458	
192	0	32768	34788	22458	
193	0	31758	35100	22462	
194	0	29796	35028	22456	
195	0	27996	34660	22456	
196	0	28080	34172	22458	
197	0	29028	33641	22458	
198	0	30041	32792	22456	
199	0	30464	32058	22456	
200	0	30536	31876	22462	
201	0	30282	31844	22458	
202	0	29976	32090	22456	
203	0	30088	32372	22460	
204	0	29788	32564	22460	
205	0	28332	33012	22456	
206	0	26400	33129	22458	
207	0	26928	33876	22460	
208	0	28548	34610	22462	
209	0	28406	35460	22460	
210	0	29106	35846	22462	
211	0	31448	36920	22462	
212	0	33640	36486	22460	
213	0	35232	36180	22456	
214	0	36024	35324	22459	
215	0	35804	33624	22459	
216	0	35224	31524	22457	
217	0	35408	29818	22460	
218	0	34532	28721	22461	
219	0	32388	27896	22458	
220	0	30452	28039	22457	
221	0	30452	28508	22457	
222	0	30922	29206	22457	
223	0	30468	30394	22464	
224	0	30440	31552	22454	
225	0	32192	32688	22461	
226	0	36176	33874	22463	
227	0	40628	34512	22460	
228	0	42356	34624	22460	
229	0	39588	34888	22460	
230	0	35198	35216	22462	
231	0	31388	35175	22459	
232	0	28636	34477	22460	
233	0	29713	34220	22461	
234	0	31153	33598	22460	
235	0	32372	33204	22463	
236	0	34804	33078	22458	
237	0	36556	32792	22457	
238	0	35900	32932	22460	
239	0	34712	33207	22460	
240	0	34868	33326	22456	
241	0	36910	33639	22460	
242	0	38104	34092	22458	
243	0	37896	34204	22460	
244	0	36552	34413	22458	
245	0	35108	34636	22461	
246	0	33520	34604	22458	
247	0	33800	34598	22462	
248	0	35972	35087	22453	
249	0	39229	35193	22456	
250	0	41736	35289	22457	
251	0	42440	35213	22456	
252	0	41900	34980	22456	
253	0	40764	34444	22462	
254	0	38640	33985	22458	
255	0	36536	32986	22462	
256	0	37248	31696	22456	
257	0	38168	30848	22464	
258	0	37389	30554	22460	
259	0	35080	30525	22460	
260	0	31768	30871	22461	
261	0	29072	31652	22455	
262	0	29670	33580	22459	
263	0	32712	35000	22458	
264	0	34320	36544	22460	
265	0	32380	38337	22460	
266	0	29242	38497	22460	
267	0	27840	38980	22465	
268	0	29136	38804	22464	
269	0	30396	38221	22461	
270	0	30320	37382	22458	
271	0	30114	36384	22462	
272	0	29294	35797	22458	
273	0	28800	35108	22462	
274	0	27104	33967	22456	
275	0	26701	32843	22460	
276	0	27356	31224	22460	
277	0	27576	30084	22462	
278	0	26721	29159	22468	
279	0	24532	28880	22456	
280	0	23556	28329	22461	
281	0	26725	27858	22459	
282	0	30756	27812	22463	
283	0	32580	28134	22457	
284	0	32748	28551	22457	
285	0	32204	29004	22460	
286	0	32982	29728	22460	
287	0	34444	30262	22458	
288	0	34940	30607	22458	
289	0	34637	31028	22462	
290	0	33352	31294	22460	
291	0	32656	31266	22456	
292	0	33548	31423	22460	
293	0	34360	30879	22457	
294	0	34376	30540	22460	
295	0	34100	30364	22468	
296	0	33652	30310	22460	
297	0	33632	30287	22461	
298	0	33732	30431	22460	
299	0	33060	30406	22457	
300	0	30988	30340	22461	
301	0	28704	30672	22457	
302	0	28525	32124	22455	
303	0	29796	32754	22460	
304	0	31220	33344	22462	
305	0	32524	33083	22464	
306	0	33084	32474	22460	
307	0	34224	31473	22460	
308	0	34964	30873	22456	
309	0	35280	30309	22460	
310	0	34840	29735	22461	
311	0	34224	29145	22453	
312	0	34452	28592	22460	
313	0	33126	28119	22462	
314	0	29825	27764	22461	
315	0	24900	27712	22456	
316	0	21770	27892	22460	
317	0	23792	28318	22460	
318	0	27104	29284	22464	
319	0	28908	30620	22462	
320	0	31008	31709	22460	
321	0	33812	32920	22456	
322	0	34772	34465	22453	
323	0	34220	35801	22456	
324	0	33464	36743	22467	
325	0	33816	37818	22460	
326	0	34348	37717	22462	
327	0	34476	37503	22462	
328	0	34596	37060	22460	
329	0	33712	36686	22464	
330	0	32488	36069	22458	
331	0	31632	35528	22461	
332	0	31581	35140	22461	
