statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61111;Consumer price index for Germany;JAHR;Year;2005;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-05;Furniture, lighting equipment, appliances etc.;90.6;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2003;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-07;Transport;76.3;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2024;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-01;Food and non-alcoholic beverages;132.4;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1991;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-07;Transport;52.2;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1999;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-11;Restaurant and accommodation services;67.5;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2024;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-10;Education;112.9;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1998;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-08;Communication;177.3;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2021;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-07;Transport;111.2;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2000;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-04;Housing, water, electricity, gas and other fuels;72.2;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2006;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-06;Health;87.6;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1992;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-10;Education;45.8;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1995;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-03;Clothing and footwear;90.1;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2020;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-05;Furniture, lighting equipment, appliances etc.;100.9;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2004;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-10;Education;76.9;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2013;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-01;Food and non-alcoholic beverages;89.6;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2005;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-07;Transport;80.7;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1993;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-06;Health;60.9;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2016;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-06;Health;95.4;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2025;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-08;Communication;98.1;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1999;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-02;Alcoholic beverages and tobacco;52.5;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1995;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-11;Restaurant and accommodation services;63.6;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2005;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-05;Furniture, lighting equipment, appliances etc.;90.4;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1998;MONAT;Months;MONAT07;July;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-09;Recreation, entertainment and culture;89.4;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2026;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-10;Education;124.1;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1997;MONAT;Months;MONAT07;July;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-01;Food and non-alcoholic beverages;70.2;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2015;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-11;Restaurant and accommodation services;88.4;2020=100;PREIS1;Consumer price index;e
