nSeq,frontal,smoothed_values,Wavetype
505,28700,34295.25600681703,0
506,29408,34426.21277319977,0
507,31086,34593.497161320265,0
508,33428,34764.13836871094,0
509,35020,34915.618158338744,0
510,36480,34999.73180148343,0
511,37432,34960.73552001125,0
512,37220,34884.26858338635,0
513,35864,34843.37042756376,0
514,33528,34865.76714260309,0
515,32317,34922.72481902143,0
516,33317,34950.96815567852,0
517,35128,34884.99001863671,0
518,36452,34767.657177953166,0
519,36164,34658.85381487647,0
520,36552,34582.17904557357,0
521,37284,34519.862880156914,0
522,36280,34391.656309958074,0
523,34717,34166.990564450585,0
524,33188,33867.84905868935,0
525,32050,33520.82909124595,0
526,30740,33175.02610627759,0
527,29109,32846.25216005624,0
528,28280,32507.660091023048,0
529,28836,32202.28519921664,0
530,29488,31962.89136443872,0
531,30298,31822.30745672694,0
532,31642,31748.613560324295,0
533,34352,31690.81176420595,0
534,35300,31630.51696828418,0
535,34588,31517.774123165338,0
536,33690,31330.02156507419,0
537,33124,31072.75485760073,0
538,32224,30780.296391324704,0
539,31760,30516.31350194456,0
540,31724,30306.486250719412,0
541,32004,30150.363552534294,0
542,31402,30041.48087003636,0
543,28068,29941.577056162965,0
544,26100,29868.189740613976,0
545,26576,29792.057098264882,0
546,27908,29708.975595353524,0
547,30504,29613.439513411104,0
548,32628,29523.59974223121,0
549,33152,29481.40381138962,0
550,33988,29538.35792792277,0
551,33380,29742.410927273413,0
552,29972,30073.422556621063,0
553,25852,30451.496569661813,0
554,24912,30745.599007185207,0
555,25996,30890.425092180805,0
556,25701,30907.326942053456,0
557,26288,30858.98973887586,0
558,27076,30804.407167777306,0
559,26868,30799.697040880852,0
560,27693,30860.637371872424,0
561,31904,30975.29412165042,0
562,35628,31147.97692947747,0
563,37628,31349.94912441233,0
564,36870,31544.75412108598,0
565,35080,31688.811176320636,0
566,34520,31820.666187636718,0
567,35460,31997.249538393356,0
568,36220,32181.340868300842,0
569,35560,32338.724204363913,0
570,33064,32468.170298172172,0
571,30196,32623.48199174706,0
572,29602,32819.07844752318,0
573,30225,32945.203823963806,0
574,31552,32982.42181663578,0
575,33300,32966.225651948575,0
576,33516,32920.555940232014,0
577,33192,32822.977885137465,0
578,34260,32630.57922812595,0
579,34506,32349.983535167285,0
580,32157,32083.564846826033,0
581,27384,31869.62799877888,0
582,24704,31675.60089786396,0
583,26088,31477.000865741546,0
584,30284,31317.22745987519,0
585,32900,31186.460184304837,0
586,33058,31073.497271972894,0
587,33220,30982.307732214565,0
588,33376,30910.990132518324,0
589,32500,30854.94238893095,0
590,31852,30854.827871894875,0
591,31618,30914.71061090237,0
592,31764,30974.04236854346,0
593,30860,30973.103631997248,0
594,28826,30862.054116116065,0
595,29264,30717.994876975306,0
596,31364,30604.2605059181,0
597,33328,30499.620157450354,0
598,33860,30422.066862176394,0
599,33788,30398.82194388611,0
600,33008,30453.90200170995,0
601,30840,30632.341464875935,0
602,28190,30917.12195466387,0
603,24912,31233.262044303323,0
604,23446,31512.825011495217,0
605,25164,31794.281224827184,0
606,28208,32084.74511528033,0
607,31037,32307.341441432734,0
608,33124,32488.364922064946,0
609,34164,32646.70443786864,0
610,34149,32707.11021132383,0
611,34872,32663.288174682108,0
612,35372,32595.499482324056,0
613,36233,32548.075310590997,0
614,37380,32519.426013499076,0
615,38673,32477.46778547598,0
616,37704,32413.139713238546,0
617,34484,32340.739221692387,0
618,33044,32295.324140256846,0
